RA_deg,Dec_deg,z,Candidate,Angular_Scale_kpc_arcsec,Feature
123.936703,58.321017,0.0270500,UGC 4289,0.547,Shell
127.182836,30.405352,0.0526200,IC 2380,1.032,Shell
127.422200,30.688373,0.0476200,IC 2383,0.939,Shell
136.910766,16.592621,0.0729300,2MASX J09073872+1635334,1.397,Shell
147.979809,5.712064,0.0732700,LEDA 1287878,1.403,Stream/Tail
156.801606,10.984194,0.0337522,2MASX J10271185+1059573,0.677,Tail
157.091027,10.727597,0.2014100,SDSSCGB 8207.1,3.344,Tail
159.021312,41.421745,0.1198300,LEDA 2180848,2.176,Tail/Spiral Arm
159.025891,41.453541,0.1202100,2MASS J10360603+4126022,2.182,Stream
159.502640,41.764194,0.1199130,2MASX J10380107+4145534,2.177,Tail
164.940379,10.796817,0.0386400,LEDA 33115,0.770,Stream/Tail
165.188659,10.568083,0.0338400,IC 664,0.679,Stream
168.101120,39.613875,0.0750600,LEDA 2152868,1.434,Tail/Spiral Arm
169.081513,29.253911,0.0452800,NVSS J111622+291507,0.896,Stream/Tail
171.703864,35.249622,0.0322500,Mrk 423,0.648,Tail
172.297598,54.116694,0.0683700,2MASX J11291167+5407028,1.316,Tail
175.461621,10.276678,0.1188600,2MASX J11415073+1016340,2.160,Stream&Tail
175.520162,10.339691,0.0207400,NGC 3819,0.422,Stream
175.529333,10.147528,0.1187900,2MASX J11420742+1008578,2.159,Stream
175.692387,10.301782,0.1179100,SDSS J114246.57+101813.4,2.145,Tail/Ring Spiral Arm
176.225352,19.778392,0.0274200,2MASX J11445486+1946349,0.554,Shell
176.275089,19.794546,0.067*,2MASX J11450584+1947329,1.292,Stream
176.287225,19.812583,0.0684894,[CGB2004b] J114509+194845,1.319,Stream
176.322840,20.021520,0.0177720,2MASX J11451755+2001106,0.363,Merger
177.778368,55.078017,0.0196800,NGC 3921,0.401,Tail
178.516940,23.340012,0.0509300,LEDA 37330,1.001,Tail/Spiral Arm
179.354138,33.678161,0.1261600,SDSS J115724.81+334043.5,2.274,Tail/Spiral Arm
180.735731,51.696392,0.0630886,2MASX J12025666+5141437,1.222,Stream/Shell/Tail
180.747194,51.827954,0.2863400,NVSS J120259+514947,4.349,Tail/Spiral Arm
180.821093,51.402197,0.0296610,Mrk 1465,0.598,Merger
184.954941,5.464035,0.0079605,NGC 4270,0.165,Shell
185.426955,13.755289,0.0825200,LEDA 169111,1.563,Stream/Tail
191.829224,30.020983,0.1386200,SDSS J124719.29+300123.6,2.465,Stream/Merger
195.233755,27.791371,0.0265900,NGC 4911,0.538,Shell
197.758424,39.192192,0.0781500,2MASX J13110199+3911281,1.488,Tail
202.488028,37.295658,0.0554320,2MASX J13295738+3717447,1.084,Tail
203.610585,59.374177,0.0721900,SDSS J133432.04+592156.8,1.384,Stream
204.035015,59.206639,0.0733812,MCG+10-19-096,1.405,Shell
207.360545,26.461400,0.0763800,2MASX J13492678+2627426,1.457,Shell&Stream
207.421321,26.717214,0.0665700,3XMM J134941.2+264301,1.285,Tail/Stream/Shell
208.276422,5.151083,0.0788500,2MASX J13530637+0508586,1.500,Shell
209.540299,18.341026,0.0631700,2MASX J13580938+1820217,1.224,Tail/Spiral Arm
209.672206,20.302733,0.064*,LEDA 1623208,1.239,Tail/Spiral Arm
209.749308,28.068404,0.0628100,LEDA 93770,1.217,Stream/Spiral Arm
215.258601,17.699847,0.0512600,IC 1004,1.007,Shell
215.375845,17.571912,0.0509200,LEDA 1535967,1.001,Tail
216.535770,16.788718,0.0873100,2MASX J14260855+1647167,1.645,Stream&Tail
222.718011,30.524442,0.0608100,LEDA 1907325,1.181,Stream
222.813522,30.474584,0.1629800,2MASX J14511539+3028213,2.821,Tail
227.746036,5.743472,0.0891800,LEDA 54175,1.676,Tail/Spiral Arm
229.188233,7.176194,0.1033615,2MASX J15164535+0710330,1.912,Tail&Merger
230.325925,30.833527,0.0740800,2MASX J15211835+3049584,1.417,Shell/Spiral Arm
230.593450,27.557305,0.0732700,2MASX J15222245+2733262,1.403,Stream/Tail
230.640788,27.644913,0.0638800,2MASX J15223389+2738441,1.236,Shell
240.532971,15.697583,0.0344500,IC 1165b,0.690,Tail
240.551719,15.908417,0.0357900,MCG+03-41-051,0.716,Shell
240.887740,16.323267,0.0381030,MCG+03-41-061,0.760,Shell
241.247652,17.871129,0.0331900,NGC 6044,0.666,Shell
241.388719,17.595926,0.0339800,IC 1181,0.681,Tail
241.404705,17.802575,0.0352136,IC 1182,0.705,Shell&Stream
241.418981,18.057720,0.0400500,LEDA 1548961,0.797,Tail
241.672458,16.320024,0.0367190,UGC 10204,0.734,Shell/Tail
242.937131,29.748091,0.0508100,LEDA 200332,0.999,Tail
242.991003,29.837605,0.0500680,UGC 10262,0.985,Shell
255.702219,78.742003,0.0669963,2MASX J17024809+7844270,1.292,Shell
290.633032,44.059785,0.0493070,2MASX J19223199+4403385,0.971,Stream
340.051613,12.177075,-,-,-,Stream
340.113598,12.361590,-,-,-,Stream/Ring
345.275320,18.879946,0.0341336,2MASX J23010596+1852475,0.684,Tail
354.251329,20.651082,0.0578250,SDSS J233658.90+203910.1,1.127,Tail/Merger
354.273366,15.933285,0.0660700,LEDA 1496749,1.276,Tail/Spiral Arm
354.325872,15.938152,0.1467600,SDSS J233717.91+155616.1,2.586,Stream/Merger
354.463773,20.961078,0.0700284,LEDA 1639646,1.346,Tail/Spiral Arm
354.622946,27.033706,0.0303543,NGC 7720,0.611,Shell
354.672522,15.955254,0.0133500,NGC 7722,0.274,Shell
354.727457,21.489628,0.0551300,LEDA 1651104,1.078,Tail
358.994947,11.615024,0.0707550,LEDA 1396212,1.359,Stream
359.007999,11.688415,0.0720680,LEDA 1397303,1.382,Tail/Stream
359.019950,11.066182,0.075*,-,1.433,Stream/Tail
