CFHTLS,Conf,Feat,ra,dec,zph,r'Mag,M*,g'-r',R/B
W1-46,1,,33.697021,-10.732102,0.11,-22.0,10.66,0.397,B
W1-47,1,,33.428829,-10.72124,0.18,-23.32,11.45,0.639,R
W1-48,3,A,33.135857,-10.580472,0.099,-21.53,10.62,0.528,R
W1-49,4,"S,M",33.770798,-10.468553,0.12,-22.56,11.1,0.596,R
W1-50,3,A,33.911705,-10.41635,0.168,-23.35,11.09,0.304,B
W1-53,0,,34.150101,-11.225227,0.139,-22.38,10.84,0.427,B
W1-54,0,,34.52047,-11.128219,0.167,-22.71,10.97,0.428,B
W1-57,0,,34.712013,-10.842353,0.12,-22.21,10.99,0.618,R
W1-58,3,A,34.556,-10.782074,0.146,-22.73,10.92,0.371,B
W1-59,0,,34.974277,-10.764244,0.18,-23.02,11.34,0.647,R
W1-60,3,A,34.698021,-10.600347,0.1,-21.53,10.36,0.301,B
W1-62,2,,35.200176,-11.199566,0.148,-22.33,10.95,0.544,R
W1-63,0,,35.92902,-11.171984,0.15,-23.02,11.27,0.581,R
W1-64,3,,35.778553,-11.093374,0.179,-23.53,11.41,0.525,B
W1-66,4,"A,M",35.65033,-10.939105,0.122,-22.38,11.06,0.622,R
W1-67,4,H,35.416416,-10.864992,0.18,-22.87,11.22,0.59,R
W1-68,0,,35.235199,-10.825553,0.148,-22.32,10.76,0.371,B
W1-69,0,,35.573376,-10.795518,0.136,-22.21,10.39,0.083,B
W1-71,0,,35.44104,-10.673303,0.184,-23.19,11.35,0.593,R
W1-72,1,,35.858185,-10.487077,0.18,-23.19,11.18,0.443,B
W1-73,1,,35.858341,-10.480101,0.115,-21.82,10.62,0.431,B
W1-74,0,,35.084522,-10.463946,0.11,-21.82,10.47,0.297,B
W1-75,1,,35.383976,-10.428904,0.157,-22.58,11.14,0.619,R
W1-76,2,,35.64603,-10.419737,0.182,-23.2,11.35,0.586,R
W1-79,1,,35.107166,-10.274105,0.162,-22.99,11.11,0.446,B
W1-80,0,,36.192448,-11.03756,0.135,-22.48,10.95,0.488,B
W1-81,1,,36.751522,-10.966722,0.09,-21.29,10.23,0.268,B
W1-82,0,,36.480877,-10.924501,0.136,-22.43,10.79,0.363,B
W1-83,0,,36.506718,-10.863957,0.155,-22.95,11.02,0.382,B
W1-84,2,,36.806564,-10.775711,0.15,-22.69,11.17,0.611,R
W1-85,4,A,36.796375,-10.761139,0.173,-22.78,10.95,0.382,B
W1-87,0,,36.753819,-10.687791,0.161,-22.64,11.08,0.547,R
W1-90,0,,36.269184,-10.614738,0.127,-22.3,11.02,0.614,R
W1-91,0,,36.255611,-10.59303,0.075,-21.02,10.13,0.278,B
W1-92,0,,36.755485,-10.493033,0.155,-22.66,11.11,0.565,R
W1-93,2,,36.146633,-10.478559,0.15,-22.69,11.13,0.577,R
W1-95,3,S,36.204315,-10.464885,0.18,-23.05,11.31,0.606,R
W1-96,1,,36.370941,-10.446504,0.076,-20.85,10.06,0.272,B
W1-97,2,,36.408279,-10.30356,0.07,-20.84,10.42,0.6,R
W1-98,2,,37.792419,-11.126202,0.172,-23.06,10.85,0.189,B
W1-99,0,,37.685009,-11.122371,0.123,-21.82,10.3,0.144,B
W1-100,0,,37.452518,-11.041182,0.18,-23.07,11.35,0.632,R
W1-101,1,,37.476299,-10.96255,0.151,-23.14,11.3,0.566,R
W1-102,0,,37.457287,-10.896633,0.149,-22.47,11.05,0.577,R
W1-103,0,,37.460041,-10.823323,0.12,-21.94,10.87,0.605,R
W1-104,0,,37.025684,-10.745133,0.18,-22.87,11.23,0.605,R
W1-110,4,"L,S",37.223198,-10.591873,0.128,-22.22,10.7,0.354,B
W1-111,0,,37.241467,-10.566697,0.148,-22.7,10.71,0.199,B
W1-112,0,,37.670563,-10.531555,0.12,-21.93,10.84,0.583,R
W1-113,2,,37.7155,-10.368069,0.182,-23.23,11.49,0.702,R
W1-114,0,,38.727276,-11.166331,0.15,-23.0,11.33,0.642,R
W1-115,0,,38.126999,-11.066277,0.099,-21.87,10.47,0.28,B
W1-117,1,,38.80442,-11.023103,0.12,-22.26,10.89,0.516,B
W1-118,0,,38.320705,-11.016455,0.116,-21.81,10.56,0.376,B
W1-120,2,,38.449925,-10.950802,0.149,-22.67,11.03,0.494,B
W1-122,0,,38.525471,-10.858728,0.043,-19.82,9.67,0.3,B
W1-123,0,,37.933041,-10.739057,0.15,-22.41,11.05,0.605,R
W1-125,0,,38.624039,-10.501018,0.18,-23.22,11.39,0.616,R
W1-126,4,"S,L",38.071007,-10.471202,0.151,-22.5,11.11,0.62,R
W1-127,2,,38.575352,-10.382453,0.139,-22.44,11.04,0.584,R
W1-134,4,L,30.613457,-9.799909,0.157,-23.35,11.17,0.372,B
W1-135,1,,30.27099,-9.787633,0.171,-22.81,11.05,0.461,B
W1-136,0,,30.594109,-9.775151,0.122,-22.28,10.82,0.447,B
W1-137,1,,30.55279,-9.671059,0.15,-22.55,11.13,0.629,R
W1-139,1,,30.535917,-9.531606,0.141,-22.21,10.85,0.493,B
W1-140,4,,30.707821,-9.336653,0.181,-23.08,11.33,0.613,R
W1-141,0,,31.767675,-10.230257,0.15,-22.59,11.14,0.622,R
W1-142,0,,32.003788,-10.192514,0.182,-23.05,11.32,0.615,R
W1-143,3,H,31.730707,-10.154305,0.152,-22.52,11.09,0.602,R
W1-145,0,,31.790983,-10.093591,0.18,-22.87,11.22,0.592,R
W1-148,4,L,31.547184,-9.94758,0.126,-22.49,10.96,0.499,B
W1-149,2,,31.333336,-9.935458,0.159,-22.71,11.04,0.484,B
W1-151,0,,32.048481,-9.898329,0.132,-22.33,10.94,0.533,R
W1-152,0,,31.227858,-9.815267,0.15,-22.69,11.17,0.607,R
W1-153,0,,31.566692,-9.807934,0.168,-22.91,11.06,0.434,B
W1-154,0,,31.557116,-9.787653,0.09,-21.71,10.75,0.581,R
W1-155,0,,31.57605,-9.666735,0.15,-22.73,11.17,0.594,R
W1-156,4,"A,S",31.790985,-9.564985,0.121,-22.65,11.11,0.574,R
W1-157,3,S,32.060642,-9.546564,0.134,-22.65,11.06,0.525,B
W1-159,0,,31.692123,-9.438184,0.086,-21.39,10.21,0.22,B
W1-160,4,L,31.720535,-9.397388,0.18,-22.88,11.21,0.583,R
W1-164,0,,32.367489,-10.114808,0.093,-21.23,10.35,0.396,B
W1-165,2,,32.110931,-10.109645,0.099,-21.46,10.28,0.251,B
W1-166,3,S,32.816593,-9.94853,0.133,-22.1,10.88,0.561,R
W1-167,0,,32.868648,-9.949264,0.083,-20.96,10.23,0.387,B
W1-168,3,F,32.871441,-9.941854,0.15,-22.79,11.18,0.584,R
W1-169,0,,32.152912,-9.937702,0.141,-22.27,10.76,0.389,B
W1-170,0,,32.531841,-9.908673,0.114,-22.33,10.7,0.323,B
W1-171,2,,32.314884,-9.784696,0.195,-23.55,11.07,0.213,B
W1-174,0,,32.157692,-9.702569,0.137,-22.4,10.81,0.39,B
W1-175,0,,33.062721,-9.604751,0.1,-21.52,10.69,0.598,R
W1-176,0,,32.950943,-9.591608,0.129,-21.96,10.66,0.414,B
W1-177,4,A,32.297382,-9.546334,0.092,-21.61,10.74,0.617,R
W1-178,4,A,32.297039,-9.545559,0.092,-21.38,10.64,0.601,R
W1-179,0,,32.344719,-9.524055,0.134,-22.49,10.82,0.373,B
W1-180,0,,32.421181,-9.526288,0.149,-22.36,10.73,0.334,B
W1-181,0,,32.156177,-9.475406,0.15,-22.49,11.09,0.614,R
W1-182,1,,33.442871,-10.218962,0.095,-21.34,10.62,0.605,R
W1-183,1,,33.855614,-10.179149,0.13,-22.62,11.09,0.56,R
W1-184,0,,33.697487,-10.192449,0.149,-22.41,10.95,0.517,B
W1-185,2,,33.166058,-10.152111,0.102,-21.87,10.61,0.401,B
W1-187,2,,33.808041,-10.090777,0.125,-22.15,10.88,0.547,R
W1-188,2,,33.166721,-10.072129,0.119,-22.91,11.11,0.476,B
W1-189,2,,33.193256,-10.045926,0.187,-23.96,11.47,0.428,B
W1-190,0,,33.760208,-10.066311,0.092,-21.54,10.57,0.488,B
W1-191,0,,33.662407,-10.009939,0.15,-23.08,11.28,0.573,R
W1-192,0,,33.608509,-9.889497,0.159,-22.62,11.1,0.572,R
W1-195,0,,33.598667,-9.69736,0.095,-21.88,10.77,0.543,R
W1-196,3,L,33.8479,-9.624586,0.183,-22.97,11.25,0.586,R
W1-197,0,,33.267975,-9.594253,0.142,-22.36,10.79,0.385,B
W1-199,4,"A,L",33.399471,-9.553778,0.118,-22.03,10.83,0.546,R
W1-201,1,,33.129509,-9.486804,0.116,-22.18,10.93,0.579,R
W1-202,4,"L,F",33.786945,-9.493225,0.116,-21.87,10.57,0.368,B
W1-204,0,,34.26384,-10.19227,0.194,-23.55,11.54,0.633,R
W1-205,0,,34.649841,-10.076246,0.117,-22.1,10.68,0.382,B
W1-206,3,"L,H",34.82737,-9.934042,0.136,-21.97,10.3,0.091,B
W1-207,2,,34.744122,-9.905999,0.113,-21.79,10.7,0.511,B
W1-208,4,H,34.780174,-9.756317,0.09,-21.35,10.59,0.574,R
W1-209,0,,34.100971,-9.735641,0.096,-21.4,10.51,0.48,B
W1-210,1,,34.885441,-9.652877,0.106,-21.98,10.46,0.231,B
W1-211,0,,34.813702,-9.590844,0.082,-21.03,10.11,0.251,B
W1-214,1,,35.832821,-10.245669,0.1,-21.68,10.76,0.6,R
W1-215,0,,35.571705,-10.056229,0.09,-22.0,10.38,0.155,B
W1-217,2,,35.011841,-9.981007,0.12,-22.05,10.93,0.62,R
W1-218,2,,35.271664,-9.623956,0.101,-21.62,10.48,0.381,B
W1-219,3,F,35.19796,-9.624628,0.088,-21.23,10.5,0.532,R
W1-221,1,,36.765987,-10.246611,0.133,-23.05,11.04,0.36,B
W1-223,0,,36.645374,-10.239376,0.141,-22.28,10.82,0.442,B
W1-225,2,,36.149441,-9.866188,0.076,-20.94,10.44,0.582,R
W1-227,0,,36.250824,-9.856068,0.082,-21.14,10.4,0.479,B
W1-229,2,,36.340656,-9.493792,0.084,-21.31,10.23,0.261,B
W1-231,4,"S,M",36.662842,-9.48071,0.12,-22.19,10.98,0.614,R
W1-232,1,,36.751221,-9.47672,0.102,-22.01,10.7,0.428,B
W1-234,2,,36.893604,-10.250633,0.12,-21.96,10.93,0.654,R
W1-235,0,,37.771584,-10.183326,0.155,-23.01,11.37,0.674,R
W1-236,4,"L,M",37.049145,-10.090625,0.14,-22.65,11.04,0.503,B
W1-237,1,,37.142803,-10.071088,0.086,-21.02,10.42,0.538,R
W1-238,4,"A,S,M",37.104496,-10.032083,0.096,-21.52,10.41,0.345,B
W1-239,0,,37.231674,-10.012664,0.143,-22.59,11.02,0.513,B
W1-240,0,,37.743439,-9.927332,0.078,-21.17,10.22,0.303,B
W1-242,4,M,37.091965,-9.887218,0.076,-20.77,10.26,0.483,B
W1-243,1,,37.7896,-9.833735,0.108,-21.86,10.46,0.27,B
W1-244,1,,37.106548,-9.767576,0.176,-23.28,11.21,0.431,B
W1-245,2,,37.630184,-9.676272,0.094,-21.51,10.31,0.26,B
W1-246,1,,36.920544,-9.607326,0.115,-21.88,10.75,0.524,R
W1-247,0,,37.113533,-9.492078,0.054,-20.21,9.85,0.315,B
W1-248,0,,37.301956,-9.508386,0.15,-22.87,11.27,0.636,R
W1-249,3,S,37.558922,-9.441507,0.112,-21.77,10.8,0.613,R
W1-250,0,,37.161964,-9.432535,0.099,-21.42,10.63,0.587,R
W1-255,1,,37.872478,-10.262243,0.18,-23.02,11.31,0.619,R
W1-256,2,,37.916256,-10.14881,0.15,-22.96,11.35,0.673,R
W1-257,0,,38.147003,-10.081855,0.121,-22.81,11.23,0.618,R
W1-258,0,,37.930779,-10.007853,0.16,-22.6,11.05,0.535,R
W1-259,0,,38.407307,-9.934512,0.194,-23.37,11.32,0.501,B
W1-260,2,,37.911781,-9.898181,0.152,-22.97,11.35,0.672,R
W1-261,1,,38.079853,-9.817242,0.185,-22.87,11.03,0.423,B
W1-263,0,,37.878296,-9.718374,0.163,-22.59,10.95,0.453,B
W1-264,4,H,38.058838,-9.531059,0.153,-23.52,11.48,0.587,R
W1-265,1,,38.535053,-9.48228,0.166,-22.63,11.06,0.529,B
W1-266,4,"S,A",37.85194,-9.358905,0.12,-21.96,10.88,0.61,R
W1-267,0,,30.322906,-9.311458,0.141,-22.44,10.83,0.397,B
W1-270,0,,31.020853,-9.106462,0.09,-21.53,10.67,0.578,R
W1-272,1,,30.634579,-8.93706,0.166,-22.91,10.97,0.357,B
W1-273,4,S,30.580271,-8.897491,0.126,-22.38,11.05,0.612,R
W1-274,3,A,31.069664,-8.868791,0.088,-21.35,10.21,0.236,B
W1-276,1,,31.105413,-8.840892,0.086,-21.25,10.55,0.574,R
W1-277,2,,30.353409,-8.779748,0.065,-20.61,10.36,0.626,R
W1-278,0,,30.943834,-8.557221,0.162,-23.43,11.31,0.472,B
W1-281,0,,31.439518,-9.213283,0.172,-22.83,11.18,0.574,R
W1-283,2,,31.273115,-9.018538,0.067,-20.45,10.12,0.469,B
W1-284,0,,31.317882,-8.98844,0.158,-22.69,11.18,0.622,R
W1-285,0,,31.285994,-8.912488,0.095,-21.6,10.65,0.541,R
W1-288,4,S,31.250198,-8.710932,0.09,-21.5,10.66,0.585,R
W1-289,0,,31.652765,-8.685903,0.121,-22.12,10.91,0.579,R
W1-290,1,,31.861036,-8.613501,0.084,-22.07,10.7,0.413,B
W1-291,0,,31.166386,-8.60813,0.092,-21.31,10.53,0.532,R
W1-293,1,,32.003056,-8.411625,0.146,-23.05,11.19,0.498,B
W1-295,0,,32.683708,-9.228481,0.167,-23.0,10.85,0.211,B
W1-296,1,,33.019218,-9.128716,0.18,-22.97,11.28,0.612,R
W1-297,4,A,32.478092,-9.08216,0.138,-22.18,10.78,0.446,B
W1-299,3,"H,L",33.058464,-8.905539,0.148,-22.35,11.03,0.603,R
W1-300,3,A,32.199753,-8.833365,0.15,-22.77,11.18,0.596,R
W1-301,2,,32.634121,-8.820353,0.125,-21.98,10.91,0.636,R
W1-302,1,,32.197437,-8.713874,0.06,-20.52,10.27,0.578,R
W1-303,0,,32.400856,-8.496565,0.119,-21.84,10.59,0.397,B
W1-305,0,,33.134842,-9.216304,0.092,-21.34,10.47,0.472,B
W1-306,2,,33.321972,-9.192824,0.087,-21.07,10.23,0.353,B
W1-308,0,,33.592514,-9.104666,0.155,-23.01,11.26,0.577,R
W1-309,0,,33.53682,-9.013524,0.141,-22.89,11.13,0.5,B
W1-310,4,M,33.823746,-9.017983,0.151,-22.43,11.07,0.609,R
W1-311,2,,33.430519,-8.509462,0.175,-22.83,10.7,0.137,B
W1-313,1,,34.078667,-9.309242,0.192,-23.04,11.18,0.495,B
W1-314,3,A,34.039547,-9.233173,0.102,-21.37,10.25,0.264,B
W1-315,3,A,34.550709,-9.030195,0.162,-23.24,11.15,0.399,B
W1-316,4,"A,F",34.82542,-9.022326,0.091,-21.52,10.78,0.678,R
W1-317,2,,34.049931,-9.011267,0.07,-21.21,10.39,0.446,B
W1-318,0,,34.261826,-8.9894,0.175,-23.06,11.33,0.622,R
W1-319,0,,34.405296,-8.95299,0.118,-22.44,11.12,0.657,R
W1-320,1,,34.123463,-8.897534,0.101,-21.52,10.56,0.484,B
W1-321,0,,34.342415,-8.880447,0.074,-20.9,10.18,0.368,B
W1-322,1,,34.492828,-8.831283,0.153,-22.62,10.91,0.409,B
W1-323,4,M,34.588104,-8.807344,0.064,-20.36,10.04,0.438,B
W1-327,0,,34.458447,-8.667436,0.179,-22.89,11.26,0.621,R
W1-331,2,,34.875824,-8.406717,0.181,-23.82,11.4,0.411,B
W1-332,4,,35.774872,-9.247176,0.082,-21.47,10.38,0.336,B
W1-333,1,,35.354874,-9.218025,0.138,-22.21,10.66,0.324,B
W1-334,4,A,35.370956,-9.163622,0.082,-21.3,10.48,0.488,B
W1-335,3,A,35.399403,-9.168033,0.154,-22.73,11.0,0.449,B
W1-336,3,"A,M",35.887535,-9.034291,0.08,-20.93,9.99,0.187,B
W1-337,0,,35.589836,-9.01003,0.067,-20.81,10.32,0.518,R
W1-338,0,,35.534065,-8.86964,0.179,-22.91,10.75,0.154,B
W1-339,4,M,35.867577,-8.865355,0.18,-23.4,11.5,0.653,R
W1-341,4,F,35.079681,-8.786392,0.12,-22.37,11.07,0.639,R
W1-342,3,"H,L",35.289887,-8.788397,0.146,-22.46,11.09,0.617,R
W1-343,0,,35.503918,-8.693703,0.153,-22.57,11.13,0.619,R
W1-344,0,,35.171421,-8.663119,0.15,-22.99,11.31,0.632,R
W1-346,0,,35.375603,-8.637333,0.112,-21.65,10.58,0.459,B
W1-347,2,,35.080135,-8.635124,0.1,-21.97,10.84,0.575,R
W1-348,0,,35.23177,-8.59481,0.069,-20.81,10.16,0.384,B
W1-349,0,,35.464695,-8.582577,0.154,-22.73,11.15,0.58,R
W1-351,0,,35.051662,-8.539475,0.157,-22.9,11.21,0.571,R
W1-352,0,,35.480911,-8.465271,0.12,-22.17,10.96,0.607,R
W1-353,0,,35.596168,-8.425898,0.155,-22.45,10.89,0.45,B
W1-354,0,,36.714825,-9.273974,0.092,-21.89,10.59,0.38,B
W1-355,0,,36.049198,-9.177271,0.081,-20.87,10.18,0.375,B
W1-356,0,,36.843426,-9.162097,0.149,-22.58,11.02,0.521,B
W1-359,0,,36.136131,-9.097031,0.09,-21.65,10.48,0.361,B
W1-360,4,A,36.10828,-9.102746,0.098,-22.26,10.78,0.418,B
W1-361,1,,36.086956,-8.921722,0.112,-21.71,10.55,0.407,B
W1-362,2,,36.45771,-8.800187,0.095,-21.21,10.28,0.346,B
W1-363,4,"H,F",36.59251,-8.789453,0.171,-23.21,11.39,0.617,R
W1-364,2,,36.242054,-8.757931,0.154,-22.49,11.1,0.618,R
W1-365,2,,36.239533,-8.745112,0.15,-23.33,11.47,0.648,R
W1-366,0,,36.359467,-8.741807,0.12,-22.22,11.0,0.623,R
W1-367,1,,36.619774,-8.724485,0.174,-23.31,11.1,0.322,B
W1-368,0,,36.337116,-8.650527,0.108,-21.85,10.5,0.312,B
W1-369,1,,36.430889,-8.623646,0.116,-21.99,10.9,0.614,R
W1-370,3,M,36.499699,-8.604684,0.12,-22.43,11.04,0.585,R
W1-373,0,,36.081986,-8.438305,0.06,-21.01,10.54,0.646,R
W1-374,1,,36.402958,-8.427581,0.12,-21.83,10.79,0.583,R
W1-375,4,"A,M",36.299404,-8.411882,0.132,-22.09,10.9,0.589,R
W1-376,0,,37.23809,-9.177957,0.118,-22.17,10.72,0.399,B
W1-377,2,,37.480873,-9.135452,0.092,-21.29,10.5,0.515,B
W1-379,2,,37.785503,-9.118298,0.15,-22.94,11.25,0.591,R
W1-380,0,,37.384773,-9.020236,0.135,-22.75,10.94,0.384,B
W1-381,0,,36.94688,-8.946523,0.126,-21.98,10.78,0.519,B
W1-383,0,,37.022304,-8.925438,0.151,-22.86,11.27,0.635,R
W1-385,0,,37.091084,-8.802407,0.18,-22.91,11.26,0.61,R
W1-386,4,L,36.945919,-8.625799,0.09,-21.2,10.07,0.159,B
W1-387,0,,37.325748,-8.635001,0.175,-22.92,11.23,0.586,R
W1-389,0,,37.190685,-8.570327,0.15,-22.74,11.22,0.642,R
W1-390,4,"F,M",37.642868,-8.529206,0.12,-22.72,11.25,0.669,R
W1-392,4,"L,F",37.189228,-8.460222,0.06,-20.68,9.74,0.053,B
W1-393,2,,36.944374,-8.40008,0.085,-21.11,10.23,0.331,B
W1-394,4,"F,A",38.354347,-9.190852,0.12,-22.6,11.18,0.648,R
W1-396,0,,38.472805,-9.042811,0.1,-21.9,10.53,0.322,B
W1-397,0,,38.289867,-9.052702,0.15,-22.74,11.21,0.63,R
W1-398,1,,38.705605,-8.957496,0.121,-22.02,10.92,0.624,R
W1-399,0,,38.137596,-8.934146,0.18,-23.24,11.41,0.625,R
W1-400,2,,38.44527,-8.846831,0.18,-23.13,11.14,0.428,B
W1-402,0,,38.619667,-8.799247,0.079,-21.25,10.33,0.376,B
W1-403,4,S,38.00779,-8.779521,0.127,-22.39,11.06,0.624,R
W1-405,0,,38.72897,-8.71013,0.15,-22.61,11.12,0.598,R
W1-409,0,,30.508089,-8.35965,0.169,-23.48,11.45,0.576,R
W1-410,0,,30.542717,-8.197873,0.12,-21.97,10.62,0.373,B
W1-412,0,,30.976486,-8.163961,0.185,-23.7,11.39,0.445,B
W1-414,0,,30.962435,-8.090237,0.135,-22.14,10.88,0.552,R
W1-415,0,,31.009247,-8.064521,0.15,-23.4,11.48,0.631,R
W1-416,0,,30.2075,-8.041871,0.12,-22.68,10.92,0.391,B
W1-418,0,,30.425079,-7.952306,0.121,-22.18,10.98,0.628,R
W1-420,0,,30.226286,-7.910847,0.088,-21.47,10.48,0.434,B
W1-421,0,,31.143105,-7.848433,0.187,-23.52,11.35,0.477,B
W1-422,0,,31.02001,-7.83671,0.18,-23.22,11.37,0.6,R
W1-423,1,,31.069555,-7.827113,0.138,-22.65,10.96,0.437,B
W1-424,3,L,30.243257,-7.700147,0.182,-23.29,11.41,0.614,R
W1-425,3,S,30.555906,-7.665324,0.071,-20.79,10.08,0.312,B
W1-426,4,M,30.72699,-7.65076,0.151,-23.19,11.39,0.632,R
W1-427,0,,30.198858,-7.644201,0.15,-22.52,11.1,0.606,R
W1-428,0,,30.412691,-7.63616,0.146,-22.7,11.09,0.538,R
W1-431,3,S,30.450819,-7.590811,0.165,-23.12,11.24,0.521,B
W1-432,0,,30.435945,-7.58236,0.09,-21.15,10.23,0.322,B
W1-433,0,,30.346054,-7.587179,0.152,-22.73,11.19,0.614,R
W1-434,1,,31.093634,-7.585923,0.131,-22.5,10.99,0.523,B
W1-435,0,,30.941503,-7.477212,0.09,-21.48,10.68,0.601,R
W1-436,0,,30.89505,-7.469967,0.096,-21.22,10.19,0.255,B
W1-438,3,H,31.237183,-8.164458,0.095,-21.39,10.74,0.693,R
W1-439,1,,31.246838,-8.137804,0.137,-23.08,11.1,0.41,B
W1-440,0,,31.610189,-8.036794,0.095,-21.82,10.51,0.335,B
W1-441,4,F,31.933512,-8.009825,0.082,-21.32,10.16,0.199,B
W1-442,0,,32.0471,-7.98327,0.087,-21.32,10.59,0.584,R
W1-443,0,,32.001194,-7.86507,0.111,-22.41,10.76,0.345,B
W1-444,0,,31.261265,-7.851139,0.127,-22.01,10.83,0.545,R
W1-446,0,,31.933899,-7.721002,0.15,-22.48,11.08,0.608,R
W1-447,2,,31.48583,-7.679638,0.162,-22.87,11.04,0.429,B
W1-448,0,,32.059742,-7.678372,0.11,-22.36,10.81,0.405,B
W1-449,4,S,31.629106,-7.639644,0.151,-23.06,11.31,0.6,R
W1-450,0,,31.543543,-7.594961,0.075,-21.15,10.28,0.363,B
W1-451,0,,31.715618,-7.615479,0.181,-23.14,11.36,0.622,R
W1-453,0,,31.82501,-7.469476,0.18,-22.89,11.27,0.631,R
W1-454,0,,32.117767,-8.197608,0.107,-21.78,10.62,0.443,B
W1-455,4,H,32.905582,-8.173978,0.18,-23.7,11.48,0.526,B
W1-458,0,,32.158356,-7.903811,0.187,-23.13,11.03,0.326,B
W1-459,0,,32.264141,-7.847484,0.18,-23.45,11.23,0.387,B
W1-460,0,,32.217712,-7.846273,0.152,-23.33,11.11,0.325,B
W1-461,0,,32.575809,-7.805628,0.168,-23.41,11.45,0.605,R
W1-462,1,,32.582008,-7.725028,0.122,-22.4,11.12,0.672,R
W1-463,0,,32.72382,-7.699318,0.169,-23.08,11.28,0.573,R
W1-464,0,,33.057972,-7.58348,0.077,-21.12,10.26,0.361,B
W1-467,1,,32.582432,-7.508636,0.076,-20.87,10.11,0.313,B
W1-468,4,"A,M",33.830673,-8.359132,0.165,-22.83,11.03,0.432,B
W1-469,2,,33.867256,-8.310109,0.176,-23.1,11.22,0.507,B
W1-470,0,,33.835342,-8.175205,0.178,-22.99,11.14,0.479,B
W1-472,2,,33.874676,-8.06062,0.144,-23.05,11.31,0.603,R
W1-473,0,,33.897575,-8.065253,0.105,-21.9,10.72,0.485,B
W1-474,0,,33.429676,-8.026393,0.15,-22.97,11.36,0.681,R
W1-475,0,,33.261536,-7.775615,0.136,-22.31,11.04,0.627,R
W1-478,2,,34.021797,-7.581259,0.18,-22.88,11.12,0.502,B
W1-479,0,,34.78603,-8.375119,0.18,-23.45,11.43,0.572,R
W1-481,0,,34.747299,-8.334416,0.158,-22.53,10.94,0.463,B
W1-482,0,,34.714664,-8.320452,0.12,-22.24,11.04,0.66,R
W1-483,0,,34.557095,-8.308818,0.177,-22.75,11.0,0.435,B
W1-485,3,M,34.224121,-8.198995,0.15,-22.64,11.14,0.606,R
W1-487,0,,34.392185,-8.14535,0.11,-21.75,10.57,0.412,B
W1-490,0,,34.716053,-8.06168,0.12,-22.1,10.95,0.623,R
W1-491,0,,34.160461,-7.99054,0.18,-22.94,11.28,0.618,R
W1-492,1,,34.505474,-7.911125,0.163,-22.71,11.06,0.506,B
W1-493,2,,34.827641,-7.896359,0.179,-23.33,11.24,0.446,B
W1-494,1,,34.500744,-7.898188,0.169,-22.87,11.24,0.604,R
W1-497,0,,34.864635,-7.759414,0.12,-22.19,11.01,0.646,R
W1-500,0,,35.592838,-8.326071,0.12,-22.04,10.94,0.638,R
W1-501,2,,35.382393,-8.199127,0.117,-21.78,10.73,0.545,R
W1-502,0,,35.114681,-8.187393,0.085,-21.3,10.4,0.42,B
W1-503,4,,35.469696,-8.161862,0.101,-21.41,10.24,0.236,B
W1-504,0,,35.128216,-8.149623,0.176,-23.03,10.87,0.22,B
W1-505,0,,35.486008,-7.971487,0.139,-22.86,11.18,0.559,R
