RESOLVE,Conf,Type,SFR,mu-delta,NNdist-kd,NNdist-proj,F16,21cm,Simbad,NED,ra,dec
rs0103,0,0,0.26058275,8.44253635,1.37921394,0.63415998,0,2,Simbad,NED,144.4895,3.463
rs0104,0,0,0.12787379,8.87840462,1.47562471,0.55992001,0,2,Simbad,NED,144.545,3.079
rs0105,1,1,0.18417788,7.29210377,0.10131879,0.10338,0,2,Simbad,NED,144.5621,4.1526
rs0106,0,0,0.06004599,7.42565155,0.02374578,0.023379,0,2,Simbad,NED,144.5729,4.0805
rs0107,3,1,0.0873684,9.41254044,0.02374578,0.023404,0,2,Simbad,NED,144.5764,4.0942
rs0108,0,0,0.21078411,8.72325039,0.11951807,0.11742,0,2,Simbad,NED,144.5993,4.0146
rs0109,0,0,0.07763204,8.74962616,2.00550976,0.16531999,0,2,Simbad,NED,144.6279,2.5734
rs0110,,,0.00479098,8.81448174,1.47562471,0.15322,0,1,Simbad,NED,144.6489,2.6682
rs0111,,,0.06414994,7.92562151,2.63620157,1.45340002,0,2,Simbad,NED,144.7536,4.7214
rs1321,,,0.0512852,8.52898884,1.50942901,1.33860004,0,1,Simbad,NED,144.789,0.9844
rs0112,4,1,0.30476797,9.74926567,1.28473366,1.28110003,0,2,Simbad,NED,145.1516,3.5771
rs1322,,,0.09591331,8.13534355,1.28465653,0.72944999,0,2,Simbad,NED,145.3161,1.5233
rs0113,0,0,0.11827963,9.34065056,2.30803714,1.61370003,0,2,Simbad,NED,145.4796,1.3189
rs0114,,,0.5888412,7.98870468,0.35189166,0.32731,0,2,Simbad,NED,145.6133,3.3468
rs0115,,,0.07271682,6.92476463,1.28465653,0.73720998,0,2,Simbad,NED,145.6578,1.3006
rs0117,,,0.08701133,9.43659782,0.35189166,0.32844999,0,2,Simbad,NED,145.7819,3.4301
rs0118,0,0,0.22250132,7.84318686,0.58570756,0.51617998,0,2,Simbad,NED,145.7854,3.9403
rs0119,2,2,0.03034004,7.30962992,0.79846796,0.79679,0,2,Simbad,NED,145.8265,0.3731
rs0120,0,0,0.41529191,7.93200159,1.12856084,0.45063999,0,2,Simbad,NED,146.039,3.4038
rs0121,0,0,0.88555723,9.05553055,0.3136809,0.27627999,0,2,Simbad,NED,146.0433,2.4102
rs0122,3,1,0.1418606,7.34379005,0.58570756,0.51722002,0,2,Simbad,NED,146.1434,4.0018
rs0123,,,0.12423081,8.04741287,2.81450346,0.3863,0,2,Simbad,NED,146.2123,4.5808
rs0124,3,1,0.23438916,7.11102819,0.3136809,0.27623999,0,2,Simbad,NED,146.2254,2.4653
rs0125,0,0,0.0425141,9.53308773,0.08073143,0.080313,0,2,Simbad,NED,146.2317,0.0682
rs0126,0,0,0.00505048,8.7098608,0.05310751,0.052951,0,2,Simbad,NED,146.2829,0.064
rs0127,0,0,0.21905439,9.00420475,0.05310751,0.053278,0,2,Simbad,NED,146.3009,0.0355
rs0128,0,0,0.17741123,8.8129406,1.21951197,0.36175999,0,2,Simbad,NED,146.3977,4.4106
rs0129,0,0,0.63880885,8.77380848,0.02593546,0.02651,0,2,Simbad,NED,146.4949,3.1452
rs0130,1,2,0.13342057,7.66611767,0.02593546,0.027371,0,2,Simbad,NED,146.5092,3.1343
rs0131,0,0,0.0886678,10.134758,0.82181482,0.67348999,0,2,Simbad,NED,146.5146,4.4036
rs0132,3,1,0.02620379,7.70431137,0.89037099,0.43981001,0,2,Simbad,NED,146.5307,0.7818
rs0133,0,0,0.76353896,8.58114529,0.03757383,0.037428,0,2,Simbad,NED,146.5844,3.0458
rs0134,0,0,0.87927133,8.61998081,0.03757383,0.037281,0,2,Simbad,NED,146.5878,3.0713
rs0135,0,0,0.71159762,8.73428154,0.46693521,0.42686,0,2,Simbad,NED,146.7496,2.5615
rs0136,,,0.20478044,9.46682549,0.12102882,0.1211,0,2,Simbad,NED,146.8069,0.6657
rs0137,0,0,0.01974671,8.7498436,0.12102882,0.12133,0,2,Simbad,NED,146.8421,0.7408
rs0138,2,1,0.05044947,8.10134888,0.06809904,0.068122,0,1,Simbad,NED,146.9006,3.2837
rs0139,,,0.06770971,8.02269077,0.06809904,0.067429,0,1,Simbad,NED,146.9203,3.3373
rs0140,3,1,0.25493187,8.11281013,0.0151154,0.015344,0,1,Simbad,NED,147.0396,2.5292
rs0141,4,1,0.15374959,8.1343174,0.0151154,0.014989,0,2,Simbad,NED,147.0411,2.5394
rs0142,,,0.31195477,8.61713028,0.54205373,0.47477999,0,2,Simbad,NED,147.0676,3.9059
rs0143,3,1,0.335394,8.80094051,2.81450346,1.02880001,0,2,Simbad,NED,147.1714,3.3747
rs0145,,,0.4240678,9.07770061,0.18181724,0.18237001,0,2,Simbad,NED,147.1927,0.2719
rs0146,3,2,0.65220785,7.66827965,0.06223247,0.062243,0,2,Simbad,NED,147.2486,2.4626
rs0147,2,1,0.43021515,8.51634979,1.32078591,0.47716001,0,2,Simbad,NED,147.2528,4.3031
rs0148,0,0,1.01860929,8.69365978,0.06223247,0.061849,0,2,Simbad,NED,147.2864,2.4811
rs0149,0,0,0.06751698,8.13265991,0.18181724,0.18075,0,2,Simbad,NED,147.3055,0.2176
rs1323,,,0.04908675,8.47721958,2.37374932,0.40351,0,2,Simbad,NED,147.3103,3.7851
rs1324,,,0.11483505,9.96052361,0.54205373,0.39910001,0,2,Simbad,NED,147.3611,4.0032
rs0150,2,2,0.11621327,7.65776634,1.32078591,0.47117999,0,2,Simbad,NED,147.5602,4.1991
rs0151,,,0.15095414,7.64430046,1.11213972,0.72681999,0,2,Simbad,NED,147.6431,3.5411
rs0152,,,0.16081484,8.20391273,1.76884737,1.75580001,0,1,Simbad,NED,147.6803,4.9507
rs0153,0,0,0.20670462,7.84007359,1.57496722,0.30889001,0,2,Simbad,NED,147.7464,4.2733
rs0154,0,0,0.03507878,7.72678995,0.73002035,0.3258,0,1,Simbad,NED,147.8353,0.8998
rs1325,,,0.20866473,8.02806854,1.73300678,1.39559996,0,2,Simbad,NED,147.86,1.9306
rs0155,0,0,0.07098932,10.12790108,0.18276687,0.18282001,0,2,Simbad,NED,147.8958,1.1121
rs0156,0,0,0.38219711,8.64061451,0.80890659,0.70039999,0,2,Simbad,NED,147.8972,0.4348
rs0157,0,0,0.05745395,7.20655394,1.37993133,1.1947,0,1,Simbad,NED,147.9483,3.1228
rs0158,0,0,0.06279107,7.49446297,0.10354915,0.10577,0,1,Simbad,NED,147.9987,1.0465
rs0159,,,0.18485492,9.46107483,0.10354915,0.10073,0,2,Simbad,NED,148.0476,1.0955
rs0160,0,0,0.13782126,8.00559616,0.03950921,0.03977,0,1,Simbad,NED,148.1041,2.1809
rs0161,,,0.00611546,8.56944656,0.11865457,0.11904,0,1,Simbad,NED,148.1118,2.279
rs0162,0,0,0.19620624,9.25573349,0.03950921,0.039425,0,2,Simbad,NED,148.1234,2.1545
rs0163,,,0.46247503,8.70348263,0.63415614,0.62905002,0,2,Simbad,NED,148.3206,1.9778
rs0164,,,0.00478833,8.63946533,1.36936087,0.46493,0,1,Simbad,NED,148.3235,1.2194
rs0165,0,0,0.09405226,8.23863411,0.18600859,0.18717,0,1,Simbad,NED,148.3352,0.7207
rs0166,2,1,0.29988191,8.27577972,0.63415614,0.25817001,0,2,Simbad,NED,148.4326,2.3741
rs0167,0,0,0.03745089,8.23122406,0.18600859,0.18465,0,1,Simbad,NED,148.4404,0.7867
rs0168,3,1,0.29476333,7.82301426,0.53846997,0.3779,0,2,Simbad,NED,148.4434,0.4945
rs1326,,,1.30465961,8.19211578,1.44123015,0.34681001,0,2,Simbad,NED,148.5444,2.2874
rs0169,0,0,0.02791414,9.63071346,1.65777076,0.25290999,0,2,Simbad,NED,148.5845,2.2976
rs0170,0,0,0.11008245,8.31178761,2.07177671,1.24409997,0,1,Simbad,NED,148.6752,4.9755
rs0171,0,0,0.06297487,7.86959743,1.90587039,1.62100005,0,1,Simbad,NED,148.8468,0.8793
rs0172,0,0,0.24740659,8.0608263,1.96747697,1.56079996,0,2,Simbad,NED,148.9427,3.4051
rs0173,,,0.05947907,8.76259327,0.57851256,0.32528999,0,1,Simbad,NED,149.2182,3.1493
rs0174,4,1,0.12319199,7.88313913,0.04440733,0.044666,0,2,Simbad,NED,149.2338,3.3829
rs0175,0,0,0.15338135,8.22178459,0.04440733,0.045427,0,2,Simbad,NED,149.2449,3.3564
rs0176,,,0.03812934,7.56014824,2.80899596,1.82070005,0,1,Simbad,NED,149.4481,4.5207
rs0177,0,0,0.06726319,8.08190346,1.54645984,0.29666001,0,1,Simbad,NED,149.821,3.4414
rs0178,0,0,0.06408208,8.69140816,0.79275427,0.3035,0,1,Simbad,NED,149.918,3.2931
rs0179,0,0,0.0894369,7.89449787,0.79275427,0.49686,0,2,Simbad,NED,150.158,3.1271
rs0180,1,2,0.16762586,7.80482292,1.18936838,1.18859994,0,2,Simbad,NED,150.2103,1.3356
rs0181,1,1,0.47719121,9.91793442,0.83707358,0.64516997,0,2,Simbad,NED,150.5292,3.0578
rs0182,0,0,0.10068364,8.30798054,1.18936838,1.18879998,0,2,Simbad,NED,150.5468,2.0216
rs0183,,,0.23235571,9.65224361,1.58717454,1.06340003,0,2,Simbad,NED,150.6891,4.4551
rs0184,0,0,0.04063129,7.57843351,1.58717454,0.83876002,0,2,Simbad,NED,151.0222,3.4944
rs0185,3,1,0.1554825,8.1509819,0.82607254,0.29012001,0,2,Simbad,NED,151.0791,0.1205
rs0186,0,0,0.03452883,7.86008978,0.38028284,0.38051,0,1,Simbad,NED,151.1089,0.6018
rs0187,0,0,0.02711508,9.13785458,0.82607254,0.28760001,0,2,Simbad,NED,151.1638,0.2816
rs0188,0,0,0.42452157,8.18020248,1.3690935,0.46169001,0,2,Simbad,NED,151.3046,4.1634
rs0189,0,0,0.03751427,8.77980328,0.20272853,0.20044,0,2,Simbad,NED,151.3105,2.7433
rs0190,0,0,0.1947733,8.99615383,0.09680159,0.094683,0,2,Simbad,NED,151.328,2.4958
rs0191,0,0,0.15515371,9.23403454,0.11430304,0.11607,0,2,Simbad,NED,151.3503,0.544
rs0192,0,0,0.15331264,7.59430313,0.09680159,0.10155,0,2,Simbad,NED,151.3522,2.549
rs0193,0,0,0.29303053,7.78449678,0.14125098,0.142,0,2,Simbad,NED,151.3653,2.6335
rs0194,4,1,0.05955029,9.76172829,0.11430304,0.11088,0,2,Simbad,NED,151.3829,0.6111
rs0195,0,0,0.40763912,8.31678963,0.22596522,0.22644,0,2,Simbad,NED,151.3957,3.0538
rs0196,3,2,0.14420648,9.54992771,0.0057993,0.0052184,0,2,Simbad,NED,151.4576,0.6334
rs0197,3,2,0.08436816,9.85343742,0.0057993,-999.0,0,2,Simbad,NED,151.461,0.6319
rs0198,,,0.00227793,9.49124527,0.04319658,0.043246,0,2,Simbad,NED,151.4805,0.6523
rs0200,3,1,0.03323361,8.37143612,0.04063839,0.041695,0,2,Simbad,NED,151.4837,0.6173
rs0199,,,0.00333501,8.46573353,0.04063839,0.040928,0,1,Simbad,NED,151.4838,0.5909
rs0201,,,0.15007432,9.32442284,1.2959301,0.68221003,0,2,Simbad,NED,151.5088,4.5222
rs0202,0,0,0.15361559,9.63710308,0.22596522,0.12631001,0,2,Simbad,NED,151.513,3.1098
rs0203,2,1,0.06190147,8.82966137,0.09263101,0.091342,0,2,Simbad,NED,151.5348,2.9691
rs0204,,,0.00333834,8.58491325,0.10172423,0.10161,0,1,Simbad,NED,151.5361,0.6883
rs0205,0,0,0.25233701,9.64811802,0.09263101,0.093681,0,2,Simbad,NED,151.5437,2.913
rs0206,0,0,0.18369076,8.77672672,0.14555629,0.14588,0,2,Simbad,NED,151.5515,2.5237
rs0207,,,0.07573321,7.22824097,1.2959301,0.34746999,0,2,Simbad,NED,151.5565,4.0337
rs0208,0,0,0.43947622,9.12013531,0.16985344,0.17023,0,2,Simbad,NED,151.5704,3.8278
rs0209,0,0,0.25799721,9.12915802,0.8072306,0.11867,0,2,Simbad,NED,151.584,3.1245
rs0210,0,0,0.098276,7.94557285,0.14555629,0.14586,0,2,Simbad,NED,151.6308,2.4826
rs0211,0,0,0.06714322,9.20499229,0.44617654,0.20226,0,2,Simbad,NED,151.6546,0.6327
rs0212,0,0,0.09782127,7.8291502,0.71155838,0.38584,0,2,Simbad,NED,151.7858,2.6566
rs0213,3,1,0.15164654,7.27573299,0.44617654,0.35429001,0,2,Simbad,NED,151.7993,0.809
rs0214,0,0,0.08887931,8.3371706,1.09457497,0.22225,0,2,Simbad,NED,151.8069,2.9024
rs0215,0,0,0.10707463,7.78797579,1.10727043,0.94027001,0,1,Simbad,NED,151.8094,0.056
rs0216,0,0,0.06105181,7.44904232,0.78430511,0.3788,0,1,Simbad,NED,151.8481,3.0709
rs0217,,,0.03560308,7.69462013,0.78550432,0.70896,0,1,Simbad,NED,151.8555,1.265
rs0218,3,2,0.28083035,7.89636993,1.17255109,0.52375001,0,2,Simbad,NED,151.9416,3.3712
rs0219,,,0.17179358,8.30126381,1.32122236,0.2379,0,1,Simbad,NED,151.9438,2.8745
rs0220,0,0,0.15396243,7.99955463,6.85624931,3.21420002,0,1,Simbad,NED,151.9534,2.8785
rs0221,0,0,0.25130188,8.43897438,1.09457497,0.76155001,0,2,Simbad,NED,152.0708,2.2732
rs0222,3,1,0.86895806,8.08024406,0.02363937,0.024624,0,2,Simbad,NED,152.6163,2.2284
rs0223,,,0.01515826,7.61950541,0.02363937,0.024538,0,1,Simbad,NED,152.6306,2.2328
rs0224,,,0.05561698,7.98989964,1.47319058,1.19920003,0,1,Simbad,NED,152.7097,0.2806
rs0225,,,0.23000479,8.81137848,0.82628049,0.64275002,0,2,Simbad,NED,152.735,1.0721
rs0226,2,2,0.20358555,8.42199326,0.82628049,0.63836998,0,2,Simbad,NED,153.1051,1.2459
rs0227,0,0,0.694592,8.09965134,0.83688947,0.72136998,0,2,Simbad,NED,153.4689,0.5508
rs0228,1,2,0.09101115,8.57436848,1.33881632,0.55216998,0,1,Simbad,NED,153.7596,0.9682
rs0230,,,0.01229849,8.52853203,0.83688947,0.72166997,0,1,Simbad,NED,153.8821,0.3077
rs0231,0,0,0.17054868,8.45011711,0.98412004,0.56084001,0,2,Simbad,NED,154.0388,1.1911
rs1329,,,0.0907276,8.22878933,3.49804264,3.30100012,0,2,Simbad,NED,154.1713,2.0747
rs0232,1,1,0.14296043,7.57546139,0.08576098,0.085789,0,2,Simbad,NED,154.3092,1.7201
rs0233,,,0.02703221,7.61769724,0.08576098,0.083806,0,1,Simbad,NED,154.3587,1.7021
rs0234,0,0,0.05632059,8.17266464,1.36408866,0.72259003,0,2,Simbad,NED,154.3741,0.2007
rs0235,,,0.0363536,7.51425314,1.02688743,0.66992003,0,1,Simbad,NED,154.5096,0.7638
rs0236,,,0.09309821,7.55873013,0.98412004,0.67663997,0,1,Simbad,NED,154.6057,1.1823
rs0237,0,0,0.0178875,9.74607468,1.36408866,0.71342999,0,2,Simbad,NED,154.8229,0.3445
rs0238,,,0.04059909,7.73969746,5.07331848,2.47149992,0,1,Simbad,NED,155.2267,1.9134
rs0239,0,0,0.04916357,9.18665791,0.17884222,0.17855,0,2,Simbad,NED,155.4649,0.4102
rs0240,3,1,0.77542251,8.99851227,0.17884222,0.1794,0,2,Simbad,NED,155.4715,0.2955
rs0241,,,0.08672443,8.8740263,0.98696527,0.46693,0,1,Simbad,NED,155.5738,0.0104
rs0242,,,0.08352242,8.03931904,0.06498057,0.065187,0,2,Simbad,NED,155.5859,3.9617
rs0243,0,0,1.76255631,8.30041313,0.48007017,0.41207001,0,2,Simbad,NED,155.6004,1.1988
rs0244,,,1.38527,8.73535538,0.06498057,0.064139,0,2,Simbad,NED,155.6012,3.9972
rs0246,0,0,0.1144466,8.83573341,0.48007017,0.32086,0,1,Simbad,NED,155.7791,1.0061
rs0247,0,0,0.09207373,8.08541489,0.59342199,0.30234,0,2,Simbad,NED,155.9826,1.0334
rs0248,,,0.02624497,7.88523865,3.93898,0.47187999,0,1,Simbad,NED,156.007,0.6215
rs0249,1,1,0.03135674,7.72924614,0.11720675,0.11834,0,2,Simbad,NED,156.0116,0.2078
rs0250,4,1,0.18800671,10.04678154,0.04721501,0.047047,0,2,Simbad,NED,156.0319,0.142
rs0251,0,0,0.03834295,7.58299208,0.04721501,0.046985,0,1,Simbad,NED,156.059,0.1478
rs0252,3,1,0.03884644,7.24505043,0.70689566,0.36923,0,1,Simbad,NED,156.085,4.0191
rs0253,0,0,0.05640649,9.9169445,0.61853058,0.28806001,0,2,Simbad,NED,156.149,1.1098
