Name,RA_deg,Dec_deg,PA_deg,Structure,q,C0
ES82_27.115_0.394,27.11468,0.39393,2,2,0.41,-0.79
ES82_27.561_0.062,27.56087,0.06211,21.6,2,0.24,-0.46
ES82_28.265_1.023,28.2646,1.02305,74.99,1,0.28,-0.04
ES82_28.698_-0.724,28.69831,-0.7235,-49.7,2,0.42,-0.64
ES82_29.237_1.168,29.23671,1.16805,54.4,2,0.31,-0.3
ES82_29.743_-0.490,29.74327,-0.48984,-38.9,3,0.51,-0.94
ES82_30.181_1.019,30.18109,1.01942,15.7,2,0.25,-1.13
ES82_30.569_-0.533,30.56906,-0.53304,64.4,2,0.15,-0.41
ES82_31.245_-0.264,31.24546,-0.26359,89,2,0.17,-0.78
ES82_32.722_-0.921,32.72181,-0.92063,2.44,2,0.11,0.44
ES82_32.777_-0.655,32.77656,-0.65528,17.38,"1, 2",0.21,0.04
ES82_33.789_-0.704,33.78917,-0.70357,-26,2,0.15,-0.69
ES82_36.641_-1.108,36.64127,-1.10789,49.1,1,0.25,0.12
ES82_37.911_-1.083,37.9107,-1.08262,84.17,2,0.33,-0.42
ES82_39.177_-0.017,39.17708,-0.01708,70.1,2,0.28,-0.67
ES82_40.079_0.440,40.0789,0.43967,22,1,0.22,-0.02
ES82_42.143_-0.993,42.14331,-0.99324,-1.5,2,0.3,-0.93
ES82_46.894_-1.049,46.89375,-1.04942,-21.9,2,0.45,-0.4
ES82_49.642_-0.362,49.64189,-0.36224,25.6,2,0.38,-0.85
ES82_56.608_-0.599,56.60797,-0.59911,-14.7,2,0.26,-1.04
ES82_313.353_0.652,313.3526,0.65198,18.69,2,0.19,-0.55
ES82_314.393_0.341,314.39313,0.34109,-84.1,2,0.22,-0.88
ES82_319.276_-0.627,319.276,-0.62669,76,1,0.2,-0.8
ES82_320.078_-1.093,320.07803,-1.09339,81.5,1,0.4,-0.48
ES82_320.151_1.212,320.15142,1.21234,32.52,2,0.3311,-0.58
ES82_326.305_-0.186,326.30545,-0.18557,-84.68,2,0.29,0.17
ES82_326.580_-0.208,326.57991,-0.20788,29.5,3,0.39,-0.77
ES82_331.378_0.077,331.37818,0.07724,25.59,2,0.31,-0.75
ES82_333.748_1.020,333.7481,1.01956,-17.15,3,0.51,-0.67
ES82_336.167_-0.897,336.16729,-0.89715,-23.1,2,0.42,-0.59
ES82_336.384_0.039,336.38395,0.03903,-5.7,2,0.35,-0.52
ES82_339.008_-0.560,339.0076,-0.56015,68.3,2,0.26,-0.43
ES82_340.030_-0.818,340.03024,-0.81837,-33.8,2,0.29,-0.01
ES82_341.096_-0.114,341.09551,-0.11431,-0.1,2,0.21,-0.44
ES82_346.594_-0.822,346.59386,-0.82193,16.26,2,0.12,-0.09
ES82_347.324_0.064,347.32405,0.06416,-55.3,2,0.23,-0.86
ES82_347.624_0.273,347.62387,0.27306,84.5,2,0.27,-0.38
ES82_349.019_-0.123,349.01868,-0.12261,7.99,2,0.13,0.05
ES82_351.140_-0.731,351.13954,-0.73058,-30.2,2,0.36,-0.42
ES82_352.972_-0.827,352.97156,-0.8265,108,2,0.16,-0.62
ES82_353.011_1.223,353.01133,1.22329,13.5,1,0.25,-0.41
ES82_355.229_-1.074,355.22855,-1.07404,33.7,2,0.3,-0.56
